job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
Data Administrator - Research Scientist 2,Minnesota Department of Health,"Saint Paul, MN",32.4,hourly,"Job Details Working Title: Data Administrator Job Class: Research Scientist 2 Agency: Health Department Job ID : 91935 Location : St. Paul Telework Eligible : Yes, Hybrid 50% Full/Part Time : Full-Time Regular/Temporary :...","Hourly pay, Full time, Temporary work, Part time, Live in, Work at office, Local area, Remote work, Relocation, Monday to Friday, Shift work, Day shift",https://jooble.org/away/5968186734884599128?p=1&pos=1&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=318&relb=10&brelb=10&scr=19999.83333465613&bscr=19999.83333465613&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-4093415258069472471
2026 Internship Program - Data Engineering Intern,Toll Brothers,"Fort Washington, PA",,Not Listed,"creating an exceptional place to work that is inclusive to all. Toll Brothers , America's leading luxury home builder, seeks a Data Engineering Intern to join our team at our Corporate office located in Fort Washington, Pennsylvania. What are the primary responsibilities...","Internship, Work at office, Local area",https://jooble.org/desc/-8958610974848145229?ckey=data+scientist&rgn=55157&pos=2&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=106&relb=110&brelb=110&bscr=17655.42106908874&scr=17655.42106908874&searchTestGroup=1_2_1&iid=-6073077642460225144
Data Scientist,Recooty,"San Francisco, CA",80000.0,yearly,About the Role: Aries is seeking a Data Scientist to join our data team. This remote role will leverage data analytics to enhance user experience and drive business decisions. What You’ll Do: Build and maintain predictive models and data pipelines. Analyze data...,Remote work,https://jooble.org/away/2850857609125217330?p=1&pos=3&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=82&relb=10&brelb=10&scr=16082.568847356624&bscr=16082.568847356624&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=6616669499424106683
Data Scientist,Insight Global,"Portland, OR",,Not Listed,"Position: Data Scientist Location: Montgomery Park – Portland, OR 1 Day On-site, 4 Days Remote Contract: 6 Month Contract-to-Hire Location: Portland (1 day a week) JOB DESCRIPTION Develop, deploy, and maintain scalable machine learning models and analytical...","Contract work, Remote work, 1 day per week",https://jooble.org/away/-7569745822452893743?p=1&pos=4&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=34&relb=10&brelb=10&scr=16080.48478557708&bscr=16080.48478557708&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=6358458287452685198
DATA SCIENTIST,Goflux,"San Francisco, CA",,Not Listed,"At Flux, we rely on insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative...","Permanent employment, Remote work",https://jooble.org/away/2061290611881579052?p=1&pos=5&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=50&relb=10&brelb=10&scr=15681.39981131189&bscr=15681.39981131189&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=6508737576309091365
Data Scientist,Arcade,"San Francisco, CA",,Not Listed,"expression, and on-demand manufacturing, and we’re building fast. Role Summary We are seeking an analytical, entrepreneurial Data Scientist to lead Arcade’s analytics, experimentation, and data science capabilities. This is a highly cross‑functional role that...",Local area,https://jooble.org/away/-6295827079008016186?p=1&pos=6&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=82&relb=10&brelb=10&scr=15530.166537142182&bscr=15530.166537142182&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-2114055086821353353
Data Scientist,Scoutbee,"San Francisco, CA",8.0,hourly,"integrating our cutting-edge AI search algorithms and rich supplier data with Coupa’s $8T+ dataset, we’re solving complex discovery... been a more exciting time to join us. We’re hiring a Data Scientist (US) to drive activity and engagement across our buyer-supplier...","Remote work, Worldwide, Flexible hours",https://jooble.org/away/8321201863279436803?p=1&pos=7&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=50&relb=10&brelb=10&scr=15491.952419313346&bscr=15491.952419313346&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-8571379467802795464
Data Analyst,Thesalonhype,Remote,,Not Listed,"Position: Data Analyst Company Overview: At Thesalonhype, we are a fast-growing company in the beauty industry, providing innovative and high-quality products to our customers. Our team is made up of passionate individuals who are committed to delivering exceptional...","Remote job, Full time",https://jooble.org/desc/-3495474485127456681?ckey=data+scientist&rgn=55157&pos=8&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=202&relb=100&brelb=100&bscr=15352.537762539057&scr=15352.537762539057&searchTestGroup=1_2_1&iid=-6848557985587422348
Data Analyst,Reveleer,Remote,,Not Listed,"Data Analyst Remote Opportunity Reveleer is a healthcare data and analytics company that uses Artificial Intelligence to give health plans across all business lines greater control over their Quality Improvement, Risk Adjustment, and Member Management programs...","Remote job, Full time, Local area",https://jooble.org/desc/1614091884387673076?ckey=data+scientist&rgn=55157&pos=9&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=442&relb=110&brelb=110&bscr=15325.442670344071&scr=15325.442670344071&searchTestGroup=1_2_1&iid=-7179142517656718931
Data Scientist,"(EDO) Entertainment Data Oracle, Inc.","New York, NY",120000.0,yearly,"entertainment studios, and ad agencies. EDO’s investment-grade data align advertising investments to business results – with detailed... policy of 2 days a week in any EDO office. The Role Data Scientists at EDO drive EDO's modeling and analytical methodology to...","Work at office, Flexible hours, 2 days per week",https://jooble.org/away/-7420807362514516036?p=1&pos=10&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=34&relb=10&brelb=10&scr=15317.931440538196&bscr=15317.931440538196&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=4856787624687658197
Senior Data Scientist,"Plum, Inc.","San Francisco, CA",,Not Listed,"work hard, have fun, and make a meaningful impact—both together and individually. Job Summary We are looking for a Senior Data Scientist to lead the development of scalable Generative AI pipelines that process raw data and generate context‑aware results to power...","Work experience placement, Remote work",https://jooble.org/away/1026675645834015644?p=1&pos=11&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=50&relb=10&brelb=10&scr=15228.637248714598&bscr=15228.637248714598&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=7960186162459719477
Data Entry Clerk Remote | Part-Time or Full-Time | No Experience Needed,Spot On Media,Remote,30.0,hourly,"We’re looking for reliable and detail-oriented individuals to join our team as Remote Data Entry Clerks. This is a flexible opportunity ideal for someone who wants to work from home, stay organized, and handle simple administrative tasks in a supportive environment. ...","Remote job, Extra income, Full time, Part time, Work from home, Flexible hours",https://jooble.org/desc/9003126740454289747?ckey=data+scientist&rgn=55157&pos=12&groupId=1077&elckey=-2326180655601267528&pageType=20&p=1&sid=-2531949656953212372&jobAge=274&relb=10&brelb=10&bscr=15089.185318882717&scr=15089.185318882717&searchTestGroup=1_2_1&iid=5533773087714787240
Data Scientist,Asana,"San Francisco, CA",248000.0,yearly,"The Data Science team at Asana is pivotal in fulfilling our mission by fostering a data-driven approach in shaping both our product... Provide hands‑on technical mentorship and guidance to a team of data scientists at varying levels, helping them navigate complex modeling...","Work at office, Local area, Work from home, Worldwide",https://jooble.org/away/4200121322071953594?p=1&pos=13&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=34&relb=10&brelb=10&scr=15013.51066416706&bscr=15013.51066416706&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=643054821835259299
Forward Deployed Data Scientist,Intercom,"San Francisco, CA",197600.0,yearly,"helping customers automate and scale their support operations. Embed with strategic customers to understand their support workflows, data, and business challenges — to identify and implement opportunities where AI can deliver measurable impact. Steer customers toward...","Work at office, Local area, Work from home, Flexible hours, Shift work, 3 days per week",https://jooble.org/away/-2260462144310025065?p=1&pos=14&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=106&relb=10&brelb=10&scr=14946.941003206657&bscr=14946.941003206657&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-5809777898950694220
Senior Data Scientist,"Social Finance, Inc. (SoFi)","San Francisco, CA",128000.0,yearly,"way. Join us to invest in yourself, your career, and the financial world. The Role: We are seeking a full stack Senior Data Scientist who will help shape business strategy and product development decisions through data-driven insights for SoFi’s financial services...","Work experience placement, Remote work, Flexible hours",https://jooble.org/away/-6060969852960810499?p=1&pos=15&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=106&relb=10&brelb=10&scr=14912.991636307857&bscr=14912.991636307857&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-4564309573150952350
Data Engineer,AI Cybersecurity Company,"San Jose, CA",,Not Listed,"Francisco Bay Area , where we are assembling a world-class team to tackle some of the most pressing challenges in cybersecurity. As a Data Engineer , you will be working on components that are extremely mission-critical and form the heart of the ecosystem being built.","Work at office, Remote work",https://jooble.org/away/-8197921511993508081?p=1&pos=16&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=10&relb=10&brelb=10&scr=14903.207145662802&bscr=14903.207145662802&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=1856549139784485996
AI Data Scientist,gamma.app,"San Francisco, CA",,Not Listed,"seriously, but not ourselves. Our culture is warm, a little quirky, and fueled by curiosity. About the role You'll be our first Data Scientist, turning mountains of user data and AI outputs into insights that shape how millions of people create content. With 1 million+...","Work at office, Work from home",https://jooble.org/away/-3041173960926639562?p=1&pos=17&rgn=55157&pageType=20&ckey=data+scientist&sid=-2531949656953212372&jobAge=34&relb=10&brelb=10&scr=14883.31948699751&bscr=14883.31948699751&elckey=-2326180655601267528&searchTestGroup=1_2_1&iid=-4747541872483858041
